"age","fx"
10,0
11,0
12,0
13,0.000927357032457496
14,0.00216383307573416
15,0.00340030911901082
16,0.0080370942812983
17,0.0114374034003091
18,0.0241112828438949
19,0.0340030911901082
20,0.0661514683153014
21,0.0837712519319938
22,0.12210200927357
23,0.14435857805255
24,0.175579598145286
25,0.208037094281298
26,0.246058732612056
27,0.262132921174652
28,0.26676970633694
29,0.292117465224111
30,0.313446676970634
31,0.304482225656878
32,0.327975270479135
33,0.30015455950541
34,0.313755795981453
35,0.306336939721793
36,0.292735703245749
37,0.280370942812984
38,0.264605873261205
39,0.236476043276662
40,0.225965996908809
41,0.184544049459042
42,0.149304482225657
43,0.109428129829984
44,0.0868624420401858
45,0.0479134466769704
46,0.0253477588871718
47,0.0136012364760436
48,0.00989180834621273
49,0.00803709428129906
